Название песни + исполнитель ,Отзыв,Ссылки,Depeche Mode Songs,Отзыв
Scorpions - Send me an angel,"Безумно красивая песня, наполнена любовью и страстью даже)",https://youtu.be/1UUYjd2rjsE?si=bN8BWkq1QAEVlaRd,Personal Jesus ,
Roxette - Crash! Boom! Bang!,"Смотря на название, можно подумать, что будет что то энергичное, но песня очень нежная",https://youtu.be/aoXrd3_3fYI?si=lyr4rGXx9lsTksWF,Enjoy the Silence ,
Madonna - Frozen ,Вот такое мне очень нравится!! Есть тут особый шарм,https://youtu.be/XS088Opj9o0?si=8vCDhl-vPdZDLlL2,Just Can't Get Enough,
Phil Collins - In the air tonight,"Я точно слышала эту песню раньше, нужно послушать еще раз, сейчас настроение не такое)",https://youtu.be/YkADj0TPrJA?si=s1Imu2_M2eSk454L,Policy of Truth,
Guns N' Roses - Sweet child o' mine,"Дааа) то, что мне нужно просто сейчас 10/10",https://www.youtube.com/watch?v=1w7OgIMMRc4,Never Let Me Down Again,
Mannequin (1987)/ Starship - Nothing's gonna stop us now,Хорошая,https://youtu.be/OUXsXQ359pk?si=0sRLx2ahpr_R_iQW,Walking in my Shoes,
Cinderella - Don't know what you got ,"Эту песню я уже слышала) Она у меня в плейлисте, чудесная!",https://youtu.be/i28UEoLXVFQ?si=CbjsY8_3qYlq-HT8,Strangelove ,
Foreigner - I want to know what love is,Мне тоже очень нравится!,https://youtu.be/r3Pr1_v7hsw?si=8WkmZM_xJCFYzefb,It's No Good,
Michael Bolton - When a man loves a woman,ОООО это дааа!! =whitesnake or even better...,https://youtu.be/MUuNDb-nm5M?si=2PLKId_4h_LzsWwj,People are People,
Silent Circle - Touch in the night,Ой и эту знаю) Танцую под нее)),https://youtu.be/3-nTXUUKCro?si=es89eMI9BZEPyz5H,Behind The Wheel,
Madonna - The power of good-bye,Голос...,https://youtu.be/NHydngA5C4E?si=mPVg1SpJKgfpwHfl,Barrel Of A Gun,
Glenn Medeiros - Nothing's gonna change my love for you,Тоже с уверенностью буду слушать еще,https://youtu.be/mUg5aEy-8CQ?si=SUJsDfoBkb9e1PTK,Heaven ,
La Roux - Cover my eyes,"Очень нравится, то что надо, слушаю довольно часто",https://youtu.be/llCCnpZYnJ4?si=pkV9hCX-cGOTiMLX,Don't Say You Love Me,
Pink Floyd - Shine on you crazy diamond,"Смотрю свои ответы из прошлого и понимаю, что просто Мне нравится не совсем подходит, чудесная песня:)))",https://youtu.be/cWGE9Gi0bB0?si=zarW4uGERpGkjoGw,Only When I Lose Myself,
While my guitar gently weeps,Моя маленькая любовь.. ,https://youtu.be/YFDg-pgE0Hk?si=ijea8Eg4wpaJhYme,My cosmos is mine,
Alice Cooper - Poison,Почему раньше была такая музыка!!!! Невероятно!!,https://youtu.be/Qq4j1LtCdww?si=Nu9RRSOpMTXF9Hvj,Wrong,
Queen - I want to break free,Ну это классика) Под нее суперски танцевать -Проверено!),https://youtu.be/WUOtCLOXgm8?si=P1TBumQ8PfO-cLqo,Freelove,
The Mamas & The Papas - California Dreamin',"Айй..у меня много чувств по поводу этой песни, она почему то родная",https://youtu.be/N-aK6JnyFmk?si=ug_ri2HomdEy4E4Q,In Your Room,
Valerie Dore - The night,"Все пишут, что очень скучают по 80, а как мне скучать?? Я тоже хочу.. но все, что могу, это наслаждаться ",https://youtu.be/80ssUKt76-c?si=5evoqw4xc1KbWbxB,A Pain That I'm Used To,
The cure - Lovesong,"ААААА я просто обожаю эту песню!! она прекрасная, пропитана такой приятной атмосферой, теплом и комфортом. По сей день слушаю с трепетом и радостью, просто вау!!!",https://youtu.be/ks_qOI0lzho?si=efuC7K32yzZQK6Af,Ghosts Again,
A-ha - Here i stand and face the rain,"Слышишь? Она такая же невероятная, как и ты, а слова то какие)",https://www.youtube.com/watch?v=96ufMxMs5Ag,Higher Love,
Stephen Duffy - Unkiss that kiss,"Если честно, за этой песней идет какое то желание что то исправить? Как будто помочь себе..",https://www.youtube.com/watch?v=7bZ3GfdfCuA,Waiting For The Night ,
Duran Duran -Ordinary World,Активно продолжаю слушать,https://www.youtube.com/watch?v=FqIACCH20JU,Halo,
Tina Turner - The best,"  Я знала эту песню уже довольно давно.  ""Make Tina proud"" Помню эти твои слова))",https://www.youtube.com/watch?v=GC5E8ie2pdM,Stripped,
Sinead O'Connor - Nothing Compares 2 U,"Мне кажется, что это одна из тех, которые ты слушаешь или вспоминаешь довольно часто) Может как то ответишь мне",https://youtu.be/0-EF60neguk?list=RD0-EF60neguk,Damaged People,
Bad Boys Blue - Kisses and tears ,"Мне так интересно читать комментарии под песнями) Тут у всех свидания и поцелуи под нее. Запомни это, повторим ахахах",https://www.youtube.com/watch?v=S0NdD7BKP9Y,Martyr,
"Paula Abdul - Rush, Rush",Какой голос... чистый такой,https://www.youtube.com/watch?v=yqyIaNWP0T0,Little 15 ,
Garbage - Milk ,I'm waiting for you)) Интересный комментарий,https://www.youtube.com/watch?v=y14Kp1DitpE,Useless,
F.R David - Words ,"Я послушала еще раз и поняла, что она напоминает тебя. С первого раза я этого не поняла, почему? Одним словом-шедевр",https://www.youtube.com/watch?v=PTsSk0r_Tq8,Precious,
Pet Shop Boys - Heart,Такая музыка для особенного места- сердца ,https://www.youtube.com/watch?v=wTkfK2g4pKI,I Feel You,
Wicked Game - Single edit,"Ойййй эта песня очень важная для меня, в довольно сложный момент она была рядом. Люблю очень",https://www.youtube.com/watch?v=jd-qI62gNJM,Condemnation ,
"Eurythmics. Annie Lennox, Dave Stewart - I saved the world today","Мне стыдно смотреть на свои отзывы в прошлом, возможно так и будет в будущем, но назвать эту песню позитивной было страшным делом..",https://youtu.be/Zf052uxFF58,I Feel Loved,
Zucchero&Paul Young - Senza una donna,"Мурашки по коже, господи и....ЛЮБЛЮ",https://www.youtube.com/watch?v=V69vs8JmXYM,Dream On,
Nelly Furtado - Say it right,"Когда то давно я украла эту песню из папиного плейлиста, а теперь у тебя. Делаю микс",https://www.youtube.com/watch?v=6JnGBs88sL0,A Question Of Time,
Pink Floyd - Learning to fly,"Я не украду у тебя его, я лишь немного позаимствую:))) ",https://www.youtube.com/watch?v=nVhNCTH8pDs,Suffer Well,
Roy Orbison -You got it,Мой плейлист состоит на 50% из такой музыки!,https://www.youtube.com/watch?v=TYQzIw0zat0,Home,
ICEHOUSE - Electric Blue,Еще одна невероятная песня!! Каждый день играет и я просто не могу сидеть и слушать. ,https://www.youtube.com/watch?v=IUFOVu1CurM,Clean,
Michael Bolton - Said i loved you... but i lied,"Люблю ее слушать, когда хочется забыть о многих вещах и просто насладиться",https://www.youtube.com/watch?v=bv5vMJKBAbo,World In My eyes,
Michael Bolton - To love somebody,"Мне понравилось свое высказывание, что песня хорошо передает те эмоции, которые сложно описать, например, любовь или любые приятные чувства ",https://www.youtube.com/watch?v=B8B1bjUEAaM,Master and Servant ,
Frank Sinatra - My way,Мои эмоции относительно этого прекрасного человека очевидны.. ОН ПРЕКРАСЕН,https://www.youtube.com/watch?v=qQzdAsjWGPg,See You,
Marina and the Diamonds - Power and control,"Впервые это песня показалась мне такой себе.. но теперь на слушается каждый день, это как? она просто добавляет какой то изюминки ",https://www.youtube.com/watch?v=o3Rp_0hoNTY,A Question Of Lust,
Fleetwood Mac - Dreams ,Очень хорошая!!,https://www.youtube.com/watch?v=mrZRURcb1cM,Where is the Revolution ,
No doubt - Don't speak ,"Боже:((( Я не могу описать ее словами.. одна из тех, что будет всегда",https://www.youtube.com/watch?v=TR3Vdo5etCQ,Shake The Disease,
Sarah McLachlan - Sweet Surrender,"Будет ли что то, что мне не понравится?",https://www.youtube.com/watch?v=h2JWJYLNUq4,Cover Me,
This Magic Moment - Jay and the americans,"Мы должны послушать это вместе!! если ты это читаешь, то должны))",https://www.youtube.com/watch?v=pKfASw6qoag,Everything Counts ,
Secret Service - Flash in the night ,"Раньше слушал папа, а теперь я.. в этом есть суть)",https://www.youtube.com/watch?v=jdhjexlQAcs,Somebody,
Animotion - Obsession,Мне нравится слова которые за кадром как будто,https://www.youtube.com/watch?v=hIs5StN8J-0,Speak to me,
System Reality - Helpless,"Сложно просто сидеть и слушать)) А как они двигаются и какой позитивный настрой, обожаю!",https://www.youtube.com/watch?v=ACHMhqDoYgw,The Things You Said,
Laura Branigan - Self Control,"Ты скидывал эту песню 3 раза и это заставило меня задуматься почему..Но есть один вечер, который напоминает мне ее, это когда фильм смотрели))",https://www.youtube.com/watch?v=RP0_8J7uxhs,Always You,
Bryan Adams - 18 Till i die,"Дааа, крутая!!",https://www.youtube.com/watch?v=Fl7E2MXSXlY,Продолжение следует...,
Pet Shop Boys - Opportunities,Это одна из твоих любимых групп? Очень много песен,https://www.youtube.com/watch?v=di60NYGu03Y,,
Pet Shop Boys - Paninaro,"Это для танцев? Если да, то поехали)",https://www.youtube.com/watch?v=LP-7-W70qXs,,
